code,description
1012,"군사 협력 요구"
1013,"사법 공조 요구"
1014,"정보 협력 요구"
102,"외교적 협력 요구"
103,"물질적 원조 요구"
1031,"경제 원조 요구"
1032,"군사 원조 요구"
1033,"인도적 지원 요구"
1034,"군사 보호 또는 평화유지군 요구"
104,"정치 개혁 요구"
1041,"지도부 교체 요구"
1042,"정책 변경 요구"
1043,"권리 요구"
1044,"제도/체제 변경 요구"
105,"양보 요구"
1051,"행정 제재 완화 요구"
1052,"정치적 반대 완화 요구"
1053,"인물 또는 재산 석방/반환 요구"
1054,"경제 제재/보이콧/금수 조치 완화 요구"
1055,"국제적 개입 허용 요구"
1056,"군사적 교전 완화 요구"
106,"회담 및 협상 요구"
107,"분쟁 해결 요구"
108,"중재 요구"
110,"비판 및 반대"
111,"비난 또는 규탄"
112,"고발"
1121,"범죄 및 부패 고발"
1122,"인권 침해 고발"
1123,"침략 행위 고발"
1124,"전쟁 범죄 고발"
1125,"간첩 및 반역 행위 고발"
113,"반대 세력 규합"
114,"공식 항의"
115,"소송 제기"
116,"유죄 판결"
120,"거부"
121,"물질적 협력 거부"
1211,"경제 협력 거부"
1212,"군사 협력 거부"
122,"물질적 원조 요청 거부"
1221,"경제 원조 요청 거부"
1222,"군사 원조 요청 거부"
1223,"인도적 지원 요청 거부"
1224,"군사 보호 또는 평화유지군 요청 거부"
123,"정치 개혁 요구 거부"
1231,"지도부 교체 요구 거부"
1232,"정책 변경 요구 거부"
1233,"권리 요구 거부"
1234,"제도/체제 변경 요구 거부"
124,"양보 거부"
1241,"행정 제재 완화 거부"
1242,"정치적 반대 완화 거부"
1243,"인물 또는 재산 석방/반환 거부"
1244,"경제 제재/보이콧/금수 조치 완화 거부"
1245,"국제적 개입 허용 거부"
1246,"군사적 교전 완화 거부"
125,"회담/논의/협상 제안 거부"
126,"중재 거부"
127,"분쟁 해결 계획/합의 거부"
128,"규범 및 법률 위반"
129,"거부권 행사"
130,"위협"
131,"비군사적 위협"
1311,"원조 축소 또는 중단 위협"
1312,"제재/보이콧/금수 조치 위협"
1313,"관계 축소 또는 단절 위협"
132,"행정 제재 위협"
1321,"정치적 자유 제한 위협"
1322,"정당 또는 정치인 활동 금지 위협"
1323,"통금 선포 위협"
1324,"비상사태 또는 계엄령 선포 위협"
133,"정치적 반대 시위 위협"
134,"협상 중단 위협"
135,"중재 중단 위협"
136,"국제적 개입 중단 위협"
137,"탄압 위협"
138,"무력 사용 위협"
1381,"봉쇄 위협"
1382,"점령 위협"
1383,"비전통적 공격 위협"
1384,"전통적 공격 위협"
1385,"대량살상무기(WMD) 공격 위협"
139,"최후통첩"
140,"정치적 반대"
141,"시위 또는 집회"
1411,"지도부 교체 요구 시위"
1412,"정책 변경 요구 시위"
1413,"권리 요구 시위"
1414,"제도/체제 변경 요구 시위"
142,"단식 투쟁"
1421,"지도부 교체 요구 단식 투쟁"
1422,"정책 변경 요구 단식 투쟁"
1423,"권리 요구 단식 투쟁"
1424,"제도/체제 변경 요구 단식 투쟁"
143,"파업 또는 보이콧"
1431,"지도부 교체 요구 파업 또는 보이콧"
1432,"정책 변경 요구 파업 또는 보이콧"
1433,"권리 요구 파업 또는 보이콧"
1434,"제도/체제 변경 요구 파업 또는 보이콧"
144,"통행 방해 및 봉쇄"
1441,"지도부 교체 요구 통행 방해"
1442,"정책 변경 요구 통행 방해"
1443,"권리 요구 통행 방해"
1444,"제도/체제 변경 요구 통행 방해"
145,"폭력 시위 및 폭동"
1451,"지도부 교체 요구 폭력 시위"
1452,"정책 변경 요구 폭력 시위"
1453,"권리 요구 폭력 시위"
1454,"제도/체제 변경 요구 폭력 시위"
150,"군사력 또는 경찰력 과시"
151,"경찰 경계 태세 격상"
152,"군사 경계 태세 격상"
153,"경찰력 동원 또는 증강"
154,"군대 동원 또는 증강"
155,"사이버 부대 동원 또는 증강"
160,"관계 축소"
161,"외교 관계 축소 또는 단절"
162,"물질적 원조 축소 또는 중단"
1621,"경제 원조 축소 또는 중단"
1622,"군사 원조 축소 또는 중단"
1623,"인도적 지원 축소 또는 중단"
163,"금수 조치/보이콧/제재 부과"
164,"협상 중단"
165,"중재 중단"
166,"추방 또는 철수"
1661,"평화유지군 추방 또는 철수"
1662,"사찰단/감시단 추방 또는 철수"
1663,"원조 기관 추방 또는 철수"
170,"강압"
171,"재산 압류 또는 손상"
1711,"재산 몰수"
1712,"재산 파괴"
172,"행정 제재 부과"
1721,"정치적 자유 제한"
1722,"정당 또는 정치인 활동 금지"
1723,"통금 실시"
1724,"비상사태 또는 계엄령 선포"
173,"체포, 구금 또는 기소"
174,"개인 추방 또는 국외 이송"
175,"폭력적 탄압 전술 사용"
176,"사이버 공격"
180,"비전통적 폭력 사용"
181,"납치, 공중납치 또는 인질극"
182,"물리적 폭행"
1821,"성폭행"
1822,"고문"
1823,"폭행으로 인한 살해"
183,"자살, 차량 또는 기타 비군사적 폭탄 테러"
1831,"자살 폭탄 테러"
1832,"차량 폭탄 테러"
1833,"도로변 폭탄 테러"
1834,"시설물 폭탄 테러"
184,"인간 방패 사용"
185,"암살 시도"
186,"암살"
190,"전통적 군사력 사용"
191,"봉쇄 및 이동 제한"
192,"영토 점령"
193,"소화기 및 경화기 전투"
194,"포병 및 탱크 전투"
195,"공중 무기 사용"
1951,"정밀 유도 공중 무기 사용"
1952,"원격 조종 공중 무기 사용"
196,"휴전 위반"
200,"비전통적 대량 폭력 사용"
201,"대규모 추방"
202,"대량 학살"
203,"인종 청소"
204,"대량살상무기(WMD) 사용"
2041,"화학, 생물학 또는 방사능 무기 사용"
2042,"핵무기 폭발"
